Customer ID,Recommended Product,Current Plan,Product Interest,Monthly Data Usage (GB),Monthly Voice Minutes,Monthly SMS Sent,Recommended
68268,Upgrade to Premium Services for Free,Unlimited,Value-Added Services,38.75,1224,70,1
98439,Free Device,Premium,Value-Added Services,27.65,706,2,1
21174,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,3.79,1889,313,1
26185,Upgrade to Premium Services for Free,Basic,Voice Plans,38.44,1480,31,1
24408,Discounted SMS Bundles,Basic,Voice Plans,29.39,1665,286,1
67244,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,39.21,1884,81,1
33893,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,37.71,132,42,1
75632,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,40.25,1352,390,1
52327,Upgrade to Premium Services for Free,Premium,Value-Added Services,26.14,1647,104,1
33741,Discounted Voice Bundles,Premium,Voice Plans,7.45,1753,0,1
11680,Discounted SMS Bundles,Unlimited,Voice Plans,33.72,961,60,1
73877,Upgrade to Premium Services for Free,Basic,Data Plans,31.21,254,269,1
72787,Discounted SMS Bundles,Basic,Device Offers,37.24,1546,179,1
75263,Discounted SMS Bundles,Premium,Value-Added Services,8.91,1004,223,1
18759,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,10.15,1369,5,1
11498,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,44.58,504,102,1
12100,Free Device,Premium,Value-Added Services,37.62,943,9,1
46259,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,45.46,1882,70,1
68767,Loyalty-Based Free Data Top-Ups,Unlimited,Device Offers,38.06,1664,89,1
72338,Discounted SMS Bundles,Premium,Data Plans,30.06,1284,225,1
13410,Contract Extension Bonuses,Basic,Device Offers,32.88,846,157,1
56395,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,44.51,1825,227,1
36301,Discounted Voice Bundles,Basic,Voice Plans,29.15,1240,404,1
67442,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,31.8,370,125,1
40614,Free Device,Premium,Device Offers,8.25,869,443,1
94957,Contract Extension Bonuses,Unlimited,Voice Plans,23.96,1815,208,1
33072,Contract Extension Bonuses,Basic,Device Offers,35.96,1610,96,1
29880,Discounted Voice Bundles,Basic,Value-Added Services,13.91,271,73,1
29274,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,10.51,373,114,1
